topology: 3 3
out: 0 0 1
in: 36 48 236
out: 0 0 1
in: 193 56 54
out: 1 0 0
in: 48 100 101
out: 0 0 1
in: 234 175 248
out: 0 0 1
in: 117 251 125
out: 0 1 0
in: 147 52 11
out: 1 0 0
in: 9 75 101
out: 0 0 1
in: 27 23 178
out: 0 0 1
in: 16 70 130
out: 0 0 1
in: 172 247 27
out: 0 1 0
in: 106 252 20
out: 0 1 0
in: 135 205 201
out: 0 1 0
in: 118 232 60
out: 0 1 0
in: 93 249 4
out: 0 1 0
in: 16 84 12
out: 0 1 0
in: 89 72 215
out: 0 0 1
in: 116 30 156
out: 0 0 1
in: 132 219 137
out: 0 1 0
in: 52 201 6
out: 0 1 0
in: 186 138 95
out: 0 1 0
in: 141 56 244
out: 0 0 1
in: 176 251 46
out: 0 1 0
in: 95 136 160
out: 0 0 1
in: 138 239 16
out: 0 1 0
in: 225 196 83
out: 0 1 0
in: 23 2 135
out: 0 0 1
in: 201 135 65
out: 0 1 0
in: 44 177 170
out: 0 1 0
in: 84 196 19
out: 0 1 0
in: 5 250 235
out: 0 1 0
in: 251 41 100
out: 1 0 0
in: 110 246 165
out: 0 1 0
in: 219 122 78
out: 1 0 0
in: 85 3 95
out: 0 0 1
in: 145 32 94
out: 1 0 0
in: 107 46 76
out: 1 0 0
in: 136 19 254
out: 0 0 1
in: 80 29 62
out: 1 0 0
in: 167 22 32
out: 1 0 0
in: 223 179 123
out: 0 1 0
in: 211 159 73
out: 0 1 0
in: 93 85 58
out: 0 1 0
in: 183 104 247
out: 0 0 1
in: 144 188 118
out: 0 1 0
in: 70 198 204
out: 0 0 1
in: 110 147 97
out: 0 1 0
in: 98 118 91
out: 0 1 0
in: 220 202 196
out: 0 1 0
in: 156 125 85
out: 0 1 0
in: 213 130 179
out: 0 0 1
in: 33 9 253
out: 0 0 1
in: 73 15 251
out: 0 0 1
in: 144 11 49
out: 1 0 0
in: 20 78 234
out: 0 0 1
in: 174 246 218
out: 0 1 0
in: 218 69 220
out: 0 0 1
in: 98 185 135
out: 0 1 0
in: 21 23 6
out: 0 1 0
in: 226 57 216
out: 0 0 1
in: 218 211 149
out: 0 1 0
in: 132 76 141
out: 0 0 1
in: 212 240 133
out: 0 1 0
in: 76 227 18
out: 0 1 0
in: 118 111 116
out: 0 0 1
in: 114 198 250
out: 0 0 1
in: 219 24 65
out: 1 0 0
in: 251 141 5
out: 1 0 0
in: 101 248 142
out: 0 1 0
in: 182 191 2
out: 0 1 0
in: 124 32 186
out: 0 0 1
in: 183 36 212
out: 0 0 1
in: 65 29 46
out: 1 0 0
in: 2 21 194
out: 0 0 1
in: 225 220 122
out: 0 1 0
in: 107 216 70
out: 0 1 0
in: 113 17 166
out: 0 0 1
in: 118 167 128
out: 0 1 0
in: 114 56 94
out: 1 0 0
in: 0 22 247
out: 0 0 1
in: 176 102 132
out: 1 0 0
in: 248 134 132
out: 1 0 0
in: 3 72 64
out: 0 1 0
in: 177 137 226
out: 0 0 1
in: 112 137 92
out: 0 1 0
in: 191 27 23
out: 1 0 0
in: 88 40 217
out: 0 0 1
in: 83 140 252
out: 0 0 1
in: 188 135 152
out: 0 0 1
in: 220 47 234
out: 0 0 1
in: 85 31 133
out: 0 0 1
in: 212 222 166
out: 0 1 0
in: 229 216 230
out: 0 0 1
in: 122 48 100
out: 1 0 0
in: 223 169 17
out: 0 1 0
in: 217 37 89
out: 1 0 0
in: 219 83 89
out: 1 0 0
in: 147 227 78
out: 0 1 0
in: 175 64 182
out: 0 0 1
in: 12 58 169
out: 0 0 1
in: 118 175 153
out: 0 1 0
in: 236 238 174
out: 0 1 0
in: 72 34 107
out: 0 0 1
in: 247 207 6
out: 0 1 0
in: 37 188 242
out: 0 0 1
in: 166 202 198
out: 0 1 0
in: 251 182 190
out: 1 0 0
in: 55 25 142
out: 0 0 1
in: 158 21 224
out: 0 0 1
in: 156 202 231
out: 0 0 1
in: 79 217 56
out: 0 1 0
in: 60 251 204
out: 0 1 0
in: 245 251 175
out: 0 1 0
in: 30 171 140
out: 0 1 0
in: 186 12 47
out: 1 0 0
in: 204 213 59
out: 0 1 0
in: 19 79 39
out: 0 1 0
in: 127 17 111
out: 1 0 0
in: 133 206 61
out: 0 1 0
in: 165 79 1
out: 1 0 0
in: 180 178 169
out: 0 1 0
in: 59 161 201
out: 0 0 1
in: 158 35 115
out: 1 0 0
in: 35 227 39
out: 0 1 0
in: 148 161 124
out: 0 1 0
in: 100 33 194
out: 0 0 1
in: 113 85 233
out: 0 0 1
in: 241 248 220
out: 0 1 0
in: 244 1 164
out: 1 0 0
in: 43 71 240
out: 0 0 1
in: 206 141 63
out: 0 1 0
in: 27 68 187
out: 0 0 1
in: 134 13 198
out: 0 0 1
in: 242 77 67
out: 1 0 0
in: 197 183 38
out: 0 1 0
in: 224 155 108
out: 1 0 0
in: 20 27 152
out: 0 0 1
in: 63 44 202
out: 0 0 1
in: 156 47 231
out: 0 0 1
in: 86 14 70
out: 1 0 0
in: 248 76 64
out: 1 0 0
in: 76 117 138
out: 0 0 1
in: 53 232 41
out: 0 1 0
in: 10 139 116
out: 0 1 0
in: 90 204 185
out: 0 1 0
in: 144 146 35
out: 0 1 0
in: 145 127 105
out: 0 1 0
in: 218 108 68
out: 1 0 0
in: 35 125 39
out: 0 1 0
in: 76 215 240
out: 0 0 1
in: 227 52 185
out: 1 0 0
in: 37 154 77
out: 0 1 0
in: 224 108 159
out: 1 0 0
in: 123 175 100
out: 0 1 0
in: 107 224 72
out: 0 1 0
in: 99 83 150
out: 0 0 1
in: 159 35 37
out: 1 0 0
in: 244 1 49
out: 1 0 0
in: 173 32 222
out: 0 0 1
in: 12 127 48
out: 0 1 0
in: 215 35 49
out: 1 0 0
in: 182 236 65
out: 0 1 0
in: 235 180 250
out: 0 0 1
in: 243 42 94
out: 1 0 0
in: 22 38 79
out: 0 0 1
in: 219 146 82
out: 1 0 0
in: 197 124 134
out: 1 0 0
in: 162 189 184
out: 0 1 0
in: 229 202 173
out: 0 1 0
in: 159 200 141
out: 0 1 0
in: 122 12 239
out: 0 0 1
in: 138 235 160
out: 0 1 0
in: 123 5 42
out: 1 0 0
in: 52 231 32
out: 0 1 0
in: 252 170 4
out: 0 1 0
in: 139 198 101
out: 0 1 0
in: 74 254 147
out: 0 1 0
in: 145 143 183
out: 0 0 1
in: 49 24 235
out: 0 0 1
in: 84 0 52
out: 1 0 0
in: 194 120 156
out: 1 0 0
in: 57 9 90
out: 0 0 1
in: 28 206 32
out: 0 1 0
in: 193 128 32
out: 0 1 0
in: 18 80 65
out: 0 1 0
in: 162 103 13
out: 0 1 0
in: 201 143 159
out: 1 0 0
in: 106 164 46
out: 0 1 0
in: 252 17 212
out: 1 0 0
in: 160 20 56
out: 1 0 0
in: 153 83 68
out: 1 0 0
in: 42 155 248
out: 0 0 1
in: 133 131 208
out: 0 0 1
in: 118 144 252
out: 0 0 1
in: 174 171 66
out: 0 1 0
in: 147 192 20
out: 0 1 0
in: 76 9 8
out: 1 0 0
in: 207 159 65
out: 0 1 0
in: 26 165 29
out: 0 1 0
in: 88 37 48
out: 1 0 0
in: 58 79 84
out: 0 0 1
in: 217 122 203
out: 0 0 1
in: 47 84 236
out: 0 0 1
in: 120 52 75
out: 1 0 0
in: 215 70 219
out: 0 0 1
in: 117 178 171
out: 0 1 0
in: 56 1 32
out: 1 0 0
in: 35 85 156
out: 0 0 1
in: 14 187 216
out: 0 0 1
in: 200 0 59
out: 1 0 0
in: 206 180 224
out: 0 0 1
in: 115 125 104
out: 0 1 0
in: 37 123 204
out: 0 0 1
in: 254 47 49
out: 1 0 0
in: 41 160 47
out: 0 1 0
in: 106 11 75
out: 1 0 0
in: 153 171 31
out: 0 1 0
in: 16 236 134
out: 0 1 0
in: 43 35 53
out: 0 0 1
in: 88 163 103
out: 0 1 0
in: 89 214 144
out: 0 1 0
in: 83 169 168
out: 0 0 1
in: 84 238 184
out: 0 1 0
in: 197 199 175
out: 0 1 0
in: 97 178 254
out: 0 0 1
in: 1 1 161
out: 0 0 1
in: 161 54 156
out: 0 0 1
in: 30 202 20
out: 0 1 0
in: 5 227 7
out: 0 1 0
in: 128 75 178
out: 0 0 1
in: 127 110 219
out: 0 0 1
in: 22 73 223
out: 0 0 1
in: 132 2 44
out: 1 0 0
in: 106 235 86
out: 0 1 0
in: 236 183 197
out: 0 0 1
in: 235 29 34
out: 1 0 0
in: 7 242 134
out: 0 1 0
in: 216 139 77
out: 1 0 0
in: 64 90 149
out: 0 0 1
in: 215 13 229
out: 0 0 1
in: 26 6 199
out: 0 0 1
in: 73 115 125
out: 0 0 1
in: 121 11 1
out: 1 0 0
in: 199 216 23
out: 0 1 0
in: 22 190 252
out: 0 0 1
in: 190 133 141
out: 1 0 0
in: 214 20 47
out: 1 0 0
in: 210 70 123
out: 1 0 0
in: 181 201 84
out: 0 1 0
in: 107 187 49
out: 0 1 0
in: 75 28 152
out: 0 0 1
in: 233 143 120
out: 1 0 0
in: 129 92 147
out: 0 0 1
in: 33 189 103
out: 0 1 0
in: 224 252 59
out: 0 1 0
in: 78 158 226
out: 0 0 1
in: 44 149 208
out: 0 0 1
in: 91 100 208
out: 0 0 1
in: 95 109 87
out: 0 1 0
in: 105 115 132
out: 0 0 1
in: 226 159 253
out: 0 0 1
in: 239 54 155
out: 1 0 0
in: 117 52 247
out: 0 0 1
in: 110 39 104
out: 0 0 1
in: 115 2 150
out: 0 0 1
in: 48 197 253
out: 0 0 1
in: 161 63 215
out: 0 0 1
in: 245 60 97
out: 1 0 0
in: 53 3 169
out: 0 0 1
in: 164 188 237
out: 0 0 1
in: 36 227 80
out: 0 1 0
in: 142 89 106
out: 1 0 0
in: 171 157 40
out: 0 1 0
in: 139 98 15
out: 0 1 0
in: 200 251 210
out: 0 1 0
in: 122 95 167
out: 0 0 1
in: 25 176 135
out: 0 1 0
in: 199 4 232
out: 0 0 1
in: 104 96 61
out: 0 1 0
in: 197 18 82
out: 1 0 0
in: 131 29 65
out: 1 0 0
in: 50 222 186
out: 0 1 0
in: 204 242 16
out: 0 1 0
in: 174 13 59
out: 1 0 0
in: 167 4 18
out: 1 0 0
in: 121 232 108
out: 0 1 0
in: 51 216 235
out: 0 0 1
in: 6 119 59
out: 0 1 0
in: 105 231 175
out: 0 1 0
in: 4 254 81
out: 0 1 0
in: 254 227 103
out: 0 1 0
in: 112 112 248
out: 0 0 1
in: 231 156 178
out: 1 0 0
in: 18 113 18
out: 0 1 0
in: 179 93 205
out: 0 0 1
in: 91 144 190
out: 0 0 1
in: 132 239 142
out: 0 1 0
in: 86 242 186
out: 0 1 0
in: 248 47 35
out: 1 0 0
in: 249 74 49
out: 1 0 0
in: 158 119 153
out: 0 0 1
in: 211 137 166
out: 1 0 0
in: 176 80 221
out: 0 0 1
in: 21 40 236
out: 0 0 1
in: 84 105 204
out: 0 0 1
in: 102 121 105
out: 0 1 0
in: 70 155 108
out: 0 1 0
in: 225 228 34
out: 0 1 0
in: 5 203 208
out: 0 0 1
in: 118 236 167
out: 0 1 0
in: 140 198 91
out: 0 1 0
in: 252 73 19
out: 1 0 0
in: 172 68 185
out: 0 0 1
in: 223 16 65
out: 1 0 0
in: 139 18 251
out: 0 0 1
in: 177 222 83
out: 0 1 0
in: 37 107 146
out: 0 0 1
in: 137 121 177
out: 0 0 1
in: 173 200 131
out: 0 1 0
in: 190 231 34
out: 0 1 0
in: 76 193 241
out: 0 0 1
in: 182 164 54
out: 0 1 0
in: 225 239 254
out: 0 0 1
in: 190 13 33
out: 1 0 0
in: 228 214 18
out: 0 1 0
in: 205 243 84
out: 0 1 0
in: 141 92 15
out: 0 1 0
in: 37 193 200
out: 0 0 1
in: 181 94 158
out: 0 0 1
in: 123 230 118
out: 0 1 0
in: 132 80 181
out: 0 0 1
in: 161 9 204
out: 0 0 1
in: 16 196 20
out: 0 1 0
in: 21 63 106
out: 0 0 1
in: 59 152 23
out: 0 1 0
in: 94 60 230
out: 0 0 1
in: 5 146 101
out: 0 1 0
in: 14 62 96
out: 0 0 1
in: 245 214 24
out: 0 1 0
in: 18 235 157
out: 0 1 0
in: 117 148 114
out: 0 1 0
in: 84 79 116
out: 0 0 1
in: 136 147 184
out: 0 0 1
in: 213 174 9
out: 0 1 0
in: 194 224 235
out: 0 0 1
in: 135 6 194
out: 0 0 1
in: 30 235 166
out: 0 1 0
in: 133 19 97
out: 1 0 0
in: 14 245 139
out: 0 1 0
in: 235 247 168
out: 0 1 0
in: 243 63 191
out: 1 0 0
in: 87 123 144
out: 0 0 1
in: 21 104 38
out: 0 1 0
in: 66 103 125
out: 0 0 1
in: 157 245 102
out: 0 1 0
in: 189 79 154
out: 1 0 0
in: 14 123 130
out: 0 0 1
in: 97 225 28
out: 0 1 0
in: 175 86 12
out: 1 0 0
in: 98 14 10
out: 1 0 0
in: 241 154 28
out: 0 1 0
in: 28 125 30
out: 0 1 0
in: 50 107 74
out: 0 1 0
in: 97 201 39
out: 0 1 0
in: 233 16 68
out: 1 0 0
in: 76 193 183
out: 0 1 0
in: 199 102 188
out: 0 0 1
in: 239 158 113
out: 1 0 0
in: 213 106 72
out: 1 0 0
in: 61 108 54
out: 0 1 0
in: 32 58 93
out: 0 0 1
in: 243 230 197
out: 0 1 0
in: 238 198 149
out: 0 1 0
in: 14 73 54
out: 0 1 0
in: 158 137 156
out: 0 0 1
in: 246 132 154
out: 1 0 0
in: 149 171 197
out: 0 0 1
in: 173 177 156
out: 0 1 0
in: 212 43 65
out: 1 0 0
in: 121 145 47
out: 0 1 0
in: 83 30 46
out: 1 0 0
in: 131 26 153
out: 0 0 1
in: 160 21 89
out: 1 0 0
in: 41 229 21
out: 0 1 0
in: 86 191 235
out: 0 0 1
in: 207 90 253
out: 0 0 1
in: 204 38 138
out: 1 0 0
in: 230 0 168
out: 1 0 0
in: 199 228 189
out: 0 1 0
in: 232 204 12
out: 0 1 0
in: 116 24 213
out: 0 0 1
in: 0 48 205
out: 0 0 1
in: 92 249 14
out: 0 1 0
in: 226 0 75
out: 1 0 0
in: 104 129 182
out: 0 0 1
in: 84 116 200
out: 0 0 1
in: 93 117 89
out: 0 1 0
in: 14 187 189
out: 0 0 1
in: 81 247 247
out: 0 0 1
in: 118 204 246
out: 0 0 1
in: 168 219 40
out: 0 1 0
in: 114 7 62
out: 1 0 0
in: 169 104 154
out: 0 0 1
in: 23 45 38
out: 0 1 0
in: 59 185 141
out: 0 1 0
in: 138 223 61
out: 0 1 0
in: 235 122 209
out: 0 0 1
in: 21 60 85
out: 0 0 1
in: 236 98 161
out: 1 0 0
in: 141 112 62
out: 0 1 0
in: 51 73 69
out: 0 1 0
in: 7 103 135
out: 0 0 1
in: 9 57 111
out: 0 0 1
in: 194 135 120
out: 1 0 0
in: 154 83 242
out: 0 0 1
in: 68 248 3
out: 0 1 0
in: 2 75 85
out: 0 0 1
in: 203 0 162
out: 1 0 0
in: 223 205 24
out: 0 1 0
in: 228 65 161
out: 1 0 0
in: 156 198 105
out: 0 1 0
in: 76 89 251
out: 0 0 1
in: 125 16 240
out: 0 0 1
in: 112 147 247
out: 0 0 1
in: 3 242 107
out: 0 1 0
in: 244 68 176
out: 1 0 0
in: 229 135 206
out: 0 0 1
in: 120 0 16
out: 1 0 0
in: 246 92 203
out: 1 0 0
in: 236 238 228
out: 0 1 0
in: 94 146 73
out: 0 1 0
in: 253 25 214
out: 1 0 0
in: 162 18 74
out: 1 0 0
in: 73 125 26
out: 0 1 0
in: 228 222 228
out: 0 0 1
in: 100 181 191
out: 0 0 1
in: 191 173 18
out: 0 1 0
in: 41 128 235
out: 0 0 1
in: 161 169 28
out: 0 1 0
in: 250 177 123
out: 0 1 0
in: 84 244 164
out: 0 1 0
in: 191 88 193
out: 0 0 1
in: 16 19 106
out: 0 0 1
in: 30 197 221
out: 0 0 1
in: 186 196 115
out: 0 1 0
in: 168 36 215
out: 0 0 1
in: 75 14 164
out: 0 0 1
in: 190 44 32
out: 1 0 0
in: 236 207 249
out: 0 0 1
in: 64 75 7
out: 0 1 0
in: 14 7 81
out: 0 0 1
in: 163 252 253
out: 0 0 1
in: 129 98 34
out: 0 1 0
in: 26 245 6
out: 0 1 0
in: 243 136 220
out: 0 0 1
in: 233 201 49
out: 0 1 0
in: 41 70 47
out: 0 1 0
in: 41 165 190
out: 0 0 1
in: 66 30 60
out: 0 0 1
in: 75 98 71
out: 0 1 0
in: 168 127 125
out: 1 0 0
in: 241 111 83
out: 1 0 0
in: 143 120 74
out: 0 1 0
in: 190 30 162
out: 1 0 0
in: 139 66 34
out: 1 0 0
in: 47 193 227
out: 0 0 1
in: 48 83 79
out: 0 1 0
in: 215 97 60
out: 1 0 0
in: 107 28 17
out: 1 0 0
in: 81 181 39
out: 0 1 0
in: 250 120 80
out: 1 0 0
in: 1 37 70
out: 0 0 1
in: 76 62 182
out: 0 0 1
in: 165 162 30
out: 0 1 0
in: 163 111 92
out: 1 0 0
in: 18 24 98
out: 0 0 1
in: 127 113 182
out: 0 0 1
in: 102 9 36
out: 1 0 0
in: 45 90 187
out: 0 0 1
in: 225 140 133
out: 1 0 0
in: 197 185 35
out: 0 1 0
in: 177 77 239
out: 0 0 1
in: 225 126 23
out: 1 0 0
in: 83 151 99
out: 0 1 0
in: 54 70 68
out: 0 1 0
in: 108 140 2
out: 0 1 0
in: 7 59 56
out: 0 1 0
in: 190 51 152
out: 1 0 0
in: 248 156 143
out: 1 0 0
in: 58 186 63
out: 0 1 0
in: 233 219 215
out: 0 1 0
in: 167 146 215
out: 0 0 1
in: 84 198 182
out: 0 1 0
in: 158 132 77
out: 0 1 0
in: 225 191 195
out: 0 0 1
in: 192 135 83
out: 0 1 0
in: 99 89 152
out: 0 0 1
in: 164 9 168
out: 0 0 1
in: 227 34 133
out: 1 0 0
in: 233 212 84
out: 0 1 0
in: 191 92 48
out: 1 0 0
in: 45 89 26
out: 0 1 0
in: 162 0 192
out: 0 0 1
in: 194 122 67
out: 1 0 0
in: 33 162 227
out: 0 0 1
in: 33 128 243
out: 0 0 1
in: 239 50 122
out: 1 0 0
in: 212 201 47
out: 0 1 0
in: 241 221 116
out: 0 1 0
in: 62 94 21
out: 0 1 0
in: 95 36 34
out: 1 0 0
in: 40 245 121
out: 0 1 0
in: 225 241 31
out: 0 1 0
in: 89 155 8
out: 0 1 0
in: 139 94 92
out: 1 0 0
in: 128 94 104
out: 0 0 1
in: 242 182 138
out: 0 1 0
in: 238 33 219
out: 0 0 1
in: 235 158 211
out: 0 0 1
in: 106 206 195
out: 0 1 0
in: 2 177 97
out: 0 1 0
in: 50 73 22
out: 0 1 0
in: 150 12 53
out: 1 0 0
in: 183 125 210
out: 0 0 1
in: 33 215 118
out: 0 1 0
in: 141 131 228
out: 0 0 1
in: 247 92 219
out: 0 0 1
in: 140 166 40
out: 0 1 0
in: 76 101 160
out: 0 0 1
in: 185 41 15
out: 1 0 0
in: 155 90 28
out: 1 0 0
in: 75 71 240
out: 0 0 1
in: 90 173 234
out: 0 0 1
in: 64 35 225
out: 0 0 1
in: 162 14 217
out: 0 0 1
in: 17 13 104
out: 0 0 1
in: 221 135 94
out: 1 0 0
in: 221 92 26
out: 1 0 0
in: 73 167 37
out: 0 1 0
in: 207 234 59
out: 0 1 0
in: 72 177 215
out: 0 0 1
in: 226 236 133
out: 0 1 0
in: 110 118 241
out: 0 0 1
in: 197 92 180
out: 0 0 1
in: 183 178 31
out: 0 1 0
in: 66 7 152
out: 0 0 1
in: 129 195 7
out: 0 1 0
in: 135 23 194
out: 0 0 1
in: 93 138 15
out: 0 1 0
in: 227 211 141
out: 0 1 0
in: 69 243 115
out: 0 1 0
in: 50 254 128
out: 0 1 0
in: 103 84 97
out: 0 0 1
in: 223 239 73
out: 0 1 0
in: 4 51 40
out: 0 1 0
in: 237 75 233
out: 0 0 1
in: 204 178 104
out: 0 1 0
in: 84 174 108
out: 0 1 0
in: 94 139 16
out: 0 1 0
in: 49 145 190
out: 0 0 1
in: 45 90 1
out: 0 1 0
in: 91 16 224
out: 0 0 1
in: 166 147 9
out: 0 1 0
in: 245 151 151
out: 1 0 0
in: 146 208 76
out: 0 1 0
in: 243 187 162
out: 0 1 0
in: 55 203 62
out: 0 1 0
in: 114 183 133
out: 0 1 0
in: 45 52 212
out: 0 0 1
in: 169 75 82
out: 1 0 0
in: 34 174 146
out: 0 1 0
in: 145 60 161
out: 0 0 1
in: 155 143 202
out: 0 0 1
in: 40 94 135
out: 0 0 1
in: 5 2 18
out: 0 0 1
in: 132 174 235
out: 0 0 1
in: 126 147 81
out: 0 1 0
in: 14 213 47
out: 0 1 0
in: 114 172 128
out: 0 1 0
in: 121 75 100
out: 0 0 1
in: 108 30 53
out: 1 0 0
in: 159 248 134
out: 0 1 0
in: 158 95 195
out: 0 0 1
in: 70 121 90
out: 0 1 0
in: 145 36 78
out: 1 0 0
in: 167 237 175
out: 0 1 0
in: 22 90 14
out: 0 1 0
in: 65 63 49
out: 0 1 0
in: 134 253 16
out: 0 1 0
in: 242 59 250
out: 0 0 1
in: 170 226 238
out: 0 0 1
in: 149 24 18
out: 1 0 0
in: 134 3 173
out: 0 0 1
in: 21 13 169
out: 0 0 1
in: 129 83 150
out: 0 0 1
in: 35 77 68
out: 0 1 0
in: 20 29 27
out: 0 1 0
in: 165 40 101
out: 1 0 0
in: 215 191 113
out: 0 1 0
in: 7 163 11
out: 0 1 0
in: 49 101 147
out: 0 0 1
in: 154 239 53
out: 0 1 0
in: 23 177 248
out: 0 0 1
in: 38 39 122
out: 0 0 1
in: 217 92 243
out: 0 0 1
in: 200 191 197
out: 0 0 1
in: 115 238 99
out: 0 1 0
in: 109 190 163
out: 0 1 0
in: 0 54 54
out: 0 1 0
in: 215 180 108
out: 0 1 0
in: 164 75 166
out: 0 0 1
in: 186 153 51
out: 0 1 0
in: 22 131 49
out: 0 1 0
in: 252 139 142
out: 1 0 0
in: 244 86 4
out: 1 0 0
in: 215 248 253
out: 0 0 1
in: 182 18 151
out: 1 0 0
in: 152 233 90
out: 0 1 0
in: 61 166 124
out: 0 1 0
in: 66 107 72
out: 0 1 0
in: 246 240 159
out: 0 1 0
in: 70 244 211
out: 0 1 0
in: 105 245 180
out: 0 1 0
in: 163 239 103
out: 0 1 0
in: 40 145 71
out: 0 1 0
in: 57 66 30
out: 0 1 0
in: 0 116 46
out: 0 1 0
in: 232 16 42
out: 1 0 0
in: 102 164 157
out: 0 1 0
in: 44 200 127
out: 0 1 0
in: 16 94 160
out: 0 0 1
in: 194 200 13
out: 0 1 0
in: 107 224 137
out: 0 1 0
in: 252 248 154
out: 0 1 0
in: 31 64 196
out: 0 0 1
in: 146 157 202
out: 0 0 1
in: 226 229 143
out: 0 1 0
in: 239 195 235
out: 0 0 1
in: 48 236 49
out: 0 1 0
in: 223 67 172
out: 1 0 0
in: 17 192 5
out: 0 1 0
in: 208 253 78
out: 0 1 0
in: 71 130 231
out: 0 0 1
in: 183 42 23
out: 1 0 0
in: 144 12 141
out: 0 0 1
in: 90 232 60
out: 0 1 0
in: 178 126 254
out: 0 0 1
in: 228 128 190
out: 0 0 1
in: 17 10 157
out: 0 0 1
in: 216 198 105
out: 0 1 0
in: 145 225 230
out: 0 0 1
in: 49 95 191
out: 0 0 1
in: 17 235 87
out: 0 1 0
in: 147 6 240
out: 0 0 1
in: 228 77 130
out: 1 0 0
in: 211 91 215
out: 0 0 1
in: 247 143 137
out: 1 0 0
in: 66 68 230
out: 0 0 1
in: 95 194 5
out: 0 1 0
in: 98 235 79
out: 0 1 0
in: 23 68 5
out: 0 1 0
in: 131 239 98
out: 0 1 0
in: 233 20 5
out: 1 0 0
in: 219 236 131
out: 0 1 0
in: 152 100 237
out: 0 0 1
in: 92 194 189
out: 0 1 0
in: 113 153 23
out: 0 1 0
in: 171 3 221
out: 0 0 1
in: 102 220 168
out: 0 1 0
in: 166 238 230
out: 0 1 0
in: 163 124 97
out: 0 1 0
in: 76 106 70
out: 0 1 0
in: 208 12 236
out: 0 0 1
in: 72 193 219
out: 0 0 1
in: 1 163 181
out: 0 0 1
in: 191 10 134
out: 1 0 0
in: 100 72 121
out: 0 0 1
in: 39 162 166
out: 0 0 1
in: 111 249 251
out: 0 0 1
in: 126 211 206
out: 0 1 0
in: 2 35 153
out: 0 0 1
in: 155 210 149
out: 0 1 0
in: 253 44 94
out: 1 0 0
in: 118 43 14
out: 1 0 0
in: 150 33 135
out: 0 0 1
in: 123 155 39
out: 0 1 0
in: 42 83 245
out: 0 0 1
in: 220 25 236
out: 0 0 1
in: 14 254 13
out: 0 1 0
in: 48 48 216
out: 0 0 1
in: 45 171 18
out: 0 1 0
in: 214 98 88
out: 1 0 0
in: 254 31 1
out: 1 0 0
in: 87 209 18
out: 0 1 0
in: 126 108 146
out: 0 0 1
in: 225 61 232
out: 0 0 1
in: 47 201 245
out: 0 0 1
in: 185 53 177
out: 0 0 1
in: 227 59 222
out: 0 0 1
in: 240 36 175
out: 1 0 0
in: 252 62 60
out: 1 0 0
in: 253 249 211
out: 0 1 0
in: 51 210 178
out: 0 1 0
in: 214 185 218
out: 0 0 1
in: 49 65 62
out: 0 1 0
in: 48 209 53
out: 0 1 0
in: 144 161 47
out: 0 1 0
in: 206 229 197
out: 0 1 0
in: 156 108 5
out: 0 1 0
in: 139 74 113
out: 1 0 0
in: 203 169 193
out: 0 0 1
in: 171 250 111
out: 0 1 0
in: 198 160 186
out: 0 0 1
in: 46 175 42
out: 0 1 0
in: 80 244 83
out: 0 1 0
in: 134 198 31
out: 0 1 0
in: 138 232 14
out: 0 1 0
in: 200 225 127
out: 0 1 0
in: 81 208 11
out: 0 1 0
in: 117 57 43
out: 1 0 0
in: 92 149 112
out: 0 1 0
in: 54 239 247
out: 0 0 1
in: 148 130 24
out: 0 1 0
in: 108 233 209
out: 0 1 0
in: 117 187 197
out: 0 0 1
in: 189 192 176
out: 0 1 0
in: 213 7 122
out: 1 0 0
in: 38 146 42
out: 0 1 0
in: 83 162 10
out: 0 1 0
in: 201 66 88
out: 1 0 0
in: 109 215 63
out: 0 1 0
in: 154 246 118
out: 0 1 0
in: 87 58 98
out: 0 0 1
in: 166 174 62
out: 0 1 0
in: 23 191 224
out: 0 0 1
in: 29 167 177
out: 0 0 1
in: 87 191 216
out: 0 0 1
in: 150 102 200
out: 0 0 1
in: 133 0 5
out: 1 0 0
in: 19 139 124
out: 0 1 0
in: 93 26 176
out: 0 0 1
in: 108 224 61
out: 0 1 0
in: 247 154 141
out: 1 0 0
in: 187 209 80
out: 0 1 0
in: 230 6 88
out: 1 0 0
in: 210 119 196
out: 0 0 1
in: 34 77 126
out: 0 0 1
in: 165 116 133
out: 0 0 1
in: 22 16 23
out: 0 0 1
in: 4 69 125
out: 0 0 1
in: 211 250 243
out: 0 1 0
in: 96 237 25
out: 0 1 0
in: 147 79 110
out: 1 0 0
in: 18 152 159
out: 0 0 1
in: 227 87 157
out: 1 0 0
in: 217 207 24
out: 0 1 0
in: 93 240 127
out: 0 1 0
in: 34 15 60
out: 0 0 1
in: 219 96 185
out: 1 0 0
in: 214 170 159
out: 0 1 0
in: 89 235 229
out: 0 1 0
in: 153 70 26
out: 1 0 0
in: 106 151 28
out: 0 1 0
in: 1 142 28
out: 0 1 0
in: 215 143 118
out: 1 0 0
in: 247 80 171
out: 1 0 0
in: 31 60 242
out: 0 0 1
in: 217 253 7
out: 0 1 0
in: 169 159 159
out: 0 0 1
in: 127 61 68
out: 1 0 0
in: 125 143 115
out: 0 1 0
in: 42 181 13
out: 0 1 0
in: 189 187 96
out: 0 1 0
in: 61 64 27
out: 0 1 0
in: 20 231 208
out: 0 1 0
in: 247 140 174
out: 1 0 0
in: 221 37 181
out: 1 0 0
in: 119 157 136
